window_start,name,provider,vehicle,pad,location,mission
2025-10-31 00:00:00+00:00,Electron | VICTUS HAZE,Rocket Lab,Electron,Unknown Pad,"Rocket Lab Launch Complex 1, Mahia Peninsula, New Zealand",VICTUS HAZE
2025-10-31 00:00:00+00:00,Falcon 9 Block 5 | Transporter 15 (Dedicated SSO Rideshare),SpaceX,Falcon 9 Block 5,Space Launch Complex 4E,"Vandenberg SFB, CA, USA",Transporter 15 (Dedicated SSO Rideshare)
2025-10-31 00:00:00+00:00,GSLV Mk II | IRNSS-1L (NVS-03),Indian Space Research Organization,GSLV Mk. II,Satish Dhawan Space Centre Second Launch Pad,"Satish Dhawan Space Centre, India",IRNSS-1L (NVS-03)
2025-11-16 00:00:00+00:00,Falcon 9 Block 5 | Sentinel-6B,SpaceX,Falcon 9 Block 5,Space Launch Complex 4E,"Vandenberg SFB, CA, USA",Sentinel-6B
2025-11-27 07:26:00+00:00,Soyuz 2.1a | Soyuz MS-28,Russian Federal Space Agency (ROSCOSMOS),Soyuz 2.1a,31/6,"Baikonur Cosmodrome, Republic of Kazakhstan",Soyuz MS-28
2025-11-29 00:00:00+00:00,Ariane 62 | Sentinel-1D,Arianespace,Ariane 62,Ariane Launch Area 4,"Guiana Space Centre, French Guiana",Sentinel-1D
2025-11-30 00:00:00+00:00,Nuri | CAS500-3,Korea Aerospace Research Institute,KSLV-2 Nuri,LC-2,"Naro Space Center, South Korea",CAS500-3
2025-11-30 00:00:00+00:00,PSLV-XL | Oceansat-3A,Indian Space Research Organization,PSLV XL,Satish Dhawan Space Centre First Launch Pad,"Satish Dhawan Space Centre, India",Oceansat-3A
2025-11-30 00:00:00+00:00,Vega-C | KOMPSAT-7,Arianespace,Vega-C,Ariane Launch Area 1 (ELV),"Guiana Space Centre, French Guiana",KOMPSAT-7
2025-12-10 00:00:00+00:00,Minotaur IV | STP-S29A,Northrop Grumman Space Systems,Minotaur IV,Space Launch Complex 8,"Vandenberg SFB, CA, USA",STP-S29A
2025-12-15 00:00:00+00:00,Soyuz 2.1b/Fregat-M | AIST-2T 01 & 02,Russian Federal Space Agency (ROSCOSMOS),Soyuz 2.1b Fregat-M,Cosmodrome Site 1S,"Vostochny Cosmodrome, Siberia, Russian Federation",AIST-2T 01 & 02
2025-12-18 22:54:00+00:00,Soyuz 2.1a | Progress MS-33 (94P),Russian Federal Space Agency (ROSCOSMOS),Soyuz 2.1a,31/6,"Baikonur Cosmodrome, Republic of Kazakhstan",Progress MS-33 (94P)
2025-12-20 00:00:00+00:00,Soyuz-5 | Demo Flight,RKK Energiya,Soyuz-5,45/1,"Baikonur Cosmodrome, Republic of Kazakhstan",Demo Flight
2025-12-22 00:00:00+00:00,Proton-M/Blok DM-03 | Elektro-L No.5,Khrunichev State Research and Production Space Center,Proton-M Blok DM-03,Unknown Pad,"Baikonur Cosmodrome, Republic of Kazakhstan",Elektro-L No.5
2025-12-31 00:00:00+00:00,Ariane 62 | Galileo L14 (FOC FM29 & FM30),Arianespace,Ariane 62,Ariane Launch Area 4,"Guiana Space Centre, French Guiana",Galileo L14 (FOC FM29 & FM30)
2025-12-31 00:00:00+00:00,Electron | LEO-PNT Pathfinder A,Rocket Lab,Electron,Unknown Pad,"Rocket Lab Launch Complex 1, Mahia Peninsula, New Zealand",LEO-PNT Pathfinder A
2025-12-31 00:00:00+00:00,Falcon Heavy | Griffin Mission One,SpaceX,Falcon Heavy,Launch Complex 39A,"Kennedy Space Center, FL, USA",Griffin Mission One
2025-12-31 00:00:00+00:00,Vega-C | CSG-3,Arianespace,Vega-C,Ariane Launch Area 1 (ELV),"Guiana Space Centre, French Guiana",CSG-3
2025-12-31 00:00:00+00:00,Electron | STP-S30,Rocket Lab,Electron,Rocket Lab Launch Complex 2 (Launch Area 0 C),"Wallops Flight Facility, Virginia, USA",STP-S30
2025-12-31 00:00:00+00:00,Falcon 9 Block 5 | 8 x Globalstar-3,SpaceX,Falcon 9 Block 5,Unknown Pad,"Cape Canaveral SFS, FL, USA",8 x Globalstar-3
2025-12-31 00:00:00+00:00,H3-30 | H3-30 Test Flight,Mitsubishi Heavy Industries,H3-30,Yoshinobu Launch Complex LP-2,"Tanegashima Space Center, Japan",H3-30 Test Flight
2025-12-31 00:00:00+00:00,LVM-3 | BlueBird Block 2 #1,Indian Space Research Organization,Launch Vehicle Mark-3 (GSLV Mk III),Satish Dhawan Space Centre Second Launch Pad,"Satish Dhawan Space Centre, India",BlueBird Block 2 #1
2025-12-31 00:00:00+00:00,LVM-3 | Gaganyaan-1,Indian Space Research Organization,Launch Vehicle Mark-3 (GSLV Mk III),Satish Dhawan Space Centre Second Launch Pad,"Satish Dhawan Space Centre, India",Gaganyaan-1
2025-12-31 00:00:00+00:00,PSLV | TDS-01,Indian Space Research Organization,PSLV,Satish Dhawan Space Centre First Launch Pad,"Satish Dhawan Space Centre, India",TDS-01
2025-12-31 00:00:00+00:00,RFA One | Maiden Flight,Rocket Factory Augsburg,RFA One,Launch Pad Fredo,SaxaVord Spaceport,Maiden Flight
2025-12-31 00:00:00+00:00,Falcon 9 Block 5 | Rivada 1,SpaceX,Falcon 9 Block 5,Space Launch Complex 4E,"Vandenberg SFB, CA, USA",Rivada 1
2025-12-31 00:00:00+00:00,Falcon 9 Block 5 | Rivada 2,SpaceX,Falcon 9 Block 5,Space Launch Complex 4E,"Vandenberg SFB, CA, USA",Rivada 2
2025-12-31 00:00:00+00:00,Falcon 9 Block 5 | Rivada 3,SpaceX,Falcon 9 Block 5,Space Launch Complex 4E,"Vandenberg SFB, CA, USA",Rivada 3
